observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,freqLow,freqHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
86896MD01_016K_M04_multi_20180711_124500Z.aif_40,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_124500Z.aif,,2389.840260,2394.303740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.713196,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_131500Z.aif_108,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_131500Z.aif,,4066.968256,4071.431736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523647,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_143000Z.aif_176,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_143000Z.aif,,8931.216263,8935.679743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.649094,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_170000Z.aif_486,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_170000Z.aif,,17687.739142,17691.796852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.823421,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_193000Z.aif_613,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_193000Z.aif,,26565.123145,26569.180855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.640516,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_001500Z.aif_805,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_001500Z.aif,,43909.579149,43913.636859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.622156,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1000,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76006.304263,76010.767743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.523999,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1013,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76077.976263,76082.439743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.615454,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1035,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76218.851978,76224.668028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.587879,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1052,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76324.480263,76328.943743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.513603,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1057,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76369.016263,76373.479743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.615660,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1059,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76376.952263,76381.415743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.551292,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_926,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,75635.235978,75641.052028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.583167,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_928,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,75643.427978,75649.244028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.534605,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_998,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76002.464263,76006.927743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.553704,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_093000Z.aif_1201,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_093000Z.aif,,77264.611142,77268.668852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.530709,1-2-f,parm file = FW2O_p25.mat
