Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	SID	Date Check	Time Check	Score	Tags	Notes	Tag	Verification 2
2522	Spectrogram 1	3	751260.613503000	751269.997503000	40.000	400.000	2018/7/20	4	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180720\86896MD01_016K_M04_multi_20180720_044500Z.aif	86896MD01_016K_M04_multi_20180720_044500Z.aif	660.6135	03	07/20/2018	04:56:00.614	0.781458	ASR_MinkeWhale	na		rejected event
1	Spectrogram 1	4	3370.507503000	3381.727503000	40.000	400.000	2018/7/11	13	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_130000Z.aif	86896MD01_016K_M04_multi_20180711_130000Z.aif	670.5075	04	07/11/2018	13:11:10.508	0.967433	ASR_MinkeWhale	na		
2	Spectrogram 1	2	9961.072500000	9983.563500000	40.000	400.000	2018/7/11	15	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_150000Z.aif	86896MD01_016K_M04_multi_20180711_150000Z.aif	61.0725	02	07/11/2018	15:01:01.073	0.966903	ASR_MinkeWhale	na		
3	Spectrogram 1	4	37644.328500000	37674.469500000	40.000	400.000	2018/7/11	22	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_223000Z.aif	86896MD01_016K_M04_multi_20180711_223000Z.aif	744.3285	04	07/11/2018	22:42:24.329	0.691900	ASR_MinkeWhale	na		
4	Spectrogram 1	3	38711.884497000	38722.339497000	40.000	400.000	2018/7/11	23	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_230000Z.aif	86896MD01_016K_M04_multi_20180711_230000Z.aif	11.8845	03	07/11/2018	23:00:11.884	0.184415	ASR_MinkeWhale	na		
5	Spectrogram 1	3	38738.710497000	38752.684497000	40.000	400.000	2018/7/11	23	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_230000Z.aif	86896MD01_016K_M04_multi_20180711_230000Z.aif	38.7105	03	07/11/2018	23:00:38.710	0.184415	ASR_MinkeWhale	na		
6	Spectrogram 1	2	42907.141500000	42927.898500000	40.000	400.000	2018/7/12	0	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_000000Z.aif	86896MD01_016K_M04_multi_20180712_000000Z.aif	607.1415	02	07/12/2018	00:10:07.141	0.831527	ASR_MinkeWhale	na		
7	Spectrogram 1	3	45840.715500000	45854.332500000	40.000	400.000	2018/7/12	0	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_004500Z.aif	86896MD01_016K_M04_multi_20180712_004500Z.aif	840.7155	03	07/12/2018	00:59:00.715	0.891251	ASR_MinkeWhale	na		
8	Spectrogram 1	3	45876.109500000	45899.671500000	40.000	400.000	2018/7/12	0	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_004500Z.aif	86896MD01_016K_M04_multi_20180712_004500Z.aif	876.1095	03	07/12/2018	00:59:36.110	0.891251	ASR_MinkeWhale	na		
9	Spectrogram 1	4	45902.194503000	45915.658503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	2.1945	04	07/12/2018	01:00:02.195	0.923612	ASR_MinkeWhale	na		
10	Spectrogram 1	1	45961.429503000	45976.933503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	61.4295	01	07/12/2018	01:01:01.429	0.989471	ASR_MinkeWhale	na		
11	Spectrogram 1	1	45983.563503000	46016.917503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	83.5635	01	07/12/2018	01:01:23.564	0.989471	ASR_MinkeWhale	na		
12	Spectrogram 1	4	46092.292503000	46139.671503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	192.2925	04	07/12/2018	01:03:12.292	0.895069	ASR_MinkeWhale	na		
13	Spectrogram 1	2	46120.087503000	46135.132503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	220.0875	02	07/12/2018	01:03:40.087	0.941285	ASR_MinkeWhale	na		
14	Spectrogram 1	1	46126.870503000	46139.569503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	226.8705	01	07/12/2018	01:03:46.871	0.989861	ASR_MinkeWhale	na		
15	Spectrogram 1	2	46751.986503000	46775.038503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	851.9865	02	07/12/2018	01:14:11.987	0.931379	ASR_MinkeWhale	na		
16	Spectrogram 1	2	46779.883503000	46795.540503000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_010000Z.aif	86896MD01_016K_M04_multi_20180712_010000Z.aif	879.8835	02	07/12/2018	01:14:39.883	0.931379	ASR_MinkeWhale	na		
17	Spectrogram 1	4	46814.995497000	46827.541497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	14.9955	04	07/12/2018	01:15:14.995	0.962845	ASR_MinkeWhale	na		
18	Spectrogram 1	4	46848.400497000	46859.569497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	48.4005	04	07/12/2018	01:15:48.400	0.962845	ASR_MinkeWhale	na		
19	Spectrogram 1	4	46860.766497000	46882.186497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	60.7665	04	07/12/2018	01:16:00.767	0.784712	ASR_MinkeWhale	na		
20	Spectrogram 1	2	46860.970497000	46870.456497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	60.9705	02	07/12/2018	01:16:00.971	0.868418	ASR_MinkeWhale	na		
21	Spectrogram 1	1	46861.582497000	46878.820497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	61.5825	01	07/12/2018	01:16:01.582	0.967813	ASR_MinkeWhale	na		
22	Spectrogram 1	1	47028.859497000	47039.569497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	228.8595	01	07/12/2018	01:18:48.860	0.982048	ASR_MinkeWhale	na		
23	Spectrogram 1	3	47052.496497000	47064.787497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	252.4965	03	07/12/2018	01:19:12.497	0.993835	ASR_MinkeWhale	na		
24	Spectrogram 1	3	47133.712497000	47158.192497000	40.000	400.000	2018/7/12	1	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_011500Z.aif	86896MD01_016K_M04_multi_20180712_011500Z.aif	333.7125	03	07/12/2018	01:20:33.712	0.901340	ASR_MinkeWhale	na		
