Selection	View	Channel	SID	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Date Check	Time Check	Score	Tags	Notes
1	Spectrogram 	04	04	1032.107142	1036.164852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	132.107141823	07/11/2018	12:32:12.107	0.532789	1-2-f	parm file = FW2O_p25.mat
2	Spectrogram 	04	04	1062.819142	1066.876852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	162.819141823	07/11/2018	12:32:42.819	0.514196	1-2-f	parm file = FW2O_p25.mat
3	Spectrogram 	04	04	1090.979142	1095.036852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	190.979141823	07/11/2018	12:33:10.979	0.550048	1-2-f	parm file = FW2O_p25.mat
4	Spectrogram 	04	04	1161.771971	1167.588021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	261.771971399	07/11/2018	12:34:21.772	0.557014	1-4-f	parm file = FW2O_p25.mat
5	Spectrogram 	04	04	1177.131971	1182.948021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	277.131971399	07/11/2018	12:34:37.132	0.512933	1-4-f	parm file = FW2O_p25.mat
6	Spectrogram 	04	04	1228.579971	1234.396021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	328.579971399	07/11/2018	12:35:28.580	0.514904	1-4-f	parm file = FW2O_p25.mat
7	Spectrogram 	04	04	1241.891971	1247.708021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	341.891971399	07/11/2018	12:35:41.892	0.535854	1-4-f	parm file = FW2O_p25.mat
8	Spectrogram 	04	04	1252.899971	1258.716021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	352.899971399	07/11/2018	12:35:52.900	0.703309	1-4-f	parm file = FW2O_p25.mat
9	Spectrogram 	04	04	1266.467971	1272.284021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	366.467971399	07/11/2018	12:36:06.468	0.620385	1-4-f	parm file = FW2O_p25.mat
10	Spectrogram 	04	04	1285.915971	1291.732021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	385.915971399	07/11/2018	12:36:25.916	0.572487	1-4-f	parm file = FW2O_p25.mat
11	Spectrogram 	04	04	1312.395142	1316.452852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	412.395141823	07/11/2018	12:36:52.395	0.598128	1-2-f	parm file = FW2O_p25.mat
12	Spectrogram 	04	04	1366.291971	1372.108021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	466.291971399	07/11/2018	12:37:46.292	0.752240	1-4-f	parm file = FW2O_p25.mat
13	Spectrogram 	04	04	1388.819971	1394.636021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	488.819971399	07/11/2018	12:38:08.820	0.507471	1-4-f	parm file = FW2O_p25.mat
14	Spectrogram 	04	04	1399.827971	1405.644021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	499.827971399	07/11/2018	12:38:19.828	0.720451	1-4-f	parm file = FW2O_p25.mat
15	Spectrogram 	01	01	1449.483971	1455.300021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	549.483971399	07/11/2018	12:39:09.484	0.514208	1-4-f	parm file = FW2O_p25.mat
16	Spectrogram 	04	04	1467.003142	1471.060852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	567.003141823	07/11/2018	12:39:27.003	0.672869	1-2-f	parm file = FW2O_p25.mat
17	Spectrogram 	01	01	1675.763971	1681.580021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	775.763971399	07/11/2018	12:42:55.764	0.540119	1-4-f	parm file = FW2O_p25.mat
18	Spectrogram 	01	01	1683.352256	1687.815736	8	38	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	783.352256341	07/11/2018	12:43:03.352	0.685679	1-1-f	parm file = FW2O_p25.mat
19	Spectrogram 	01	01	1689.752256	1694.215736	8	38	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	789.752256341	07/11/2018	12:43:09.752	0.525377	1-1-f	parm file = FW2O_p25.mat
20	Spectrogram 	01	01	1707.363142	1711.420852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	807.363141823	07/11/2018	12:43:27.363	0.500600	1-2-f	parm file = FW2O_p25.mat
21	Spectrogram 	04	04	1730.795971	1736.612021	13	29	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	830.795971399	07/11/2018	12:43:50.796	0.581191	1-4-f	parm file = FW2O_p25.mat
22	Spectrogram 	01	01	1732.240256	1736.703736	8	38	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	832.240256341	07/11/2018	12:43:52.240	0.554150	1-1-f	parm file = FW2O_p25.mat
23	Spectrogram 	02	02	1741.403142	1745.460852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	841.403141823	07/11/2018	12:44:01.403	0.512561	1-2-f	parm file = FW2O_p25.mat
24	Spectrogram 	02	02	1751.899142	1755.956852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	851.899141823	07/11/2018	12:44:11.899	0.509451	1-2-f	parm file = FW2O_p25.mat
25	Spectrogram 	02	02	1775.963142	1780.020852	13	34	07/11/2018	12	\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	875.963141823	07/11/2018	12:44:35.963	0.522549	1-2-f	parm file = FW2O_p25.mat
