observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
15288674dfd0a3d604572a3d65,TOV-E: Stavanger 110204,15288674dfd0a3d60457,,2022-09-15T15:56:58Z,2022-09-15T15:58:37Z,interval,animal,,Tetrao urogallus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.4831872,,,
2d130cada2d82e4176cbc7d105,TOV-E: Bergen 120718,2d130cada2d82e4176cb,,2022-10-18T13:52:11Z,2022-10-18T13:54:38Z,interval,animal,,Regulus regulus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.5460712,,,
359b7ef06a6db5aeb5a012d68d,TOV-E: Østfold 10618,359b7ef06a6db5aeb5a0,,2022-09-19T16:13:07Z,2022-09-19T16:16:52Z,interval,animal,,Botaurus stellaris,,,,,,,,,,,,,,,machine,birdnet-lite,,0.48508248,,,
40c5699472e02513b0aeff61d5,TOV-E: Bergen 120718,40c5699472e02513b0ae,,2022-09-16T14:26:20Z,2022-09-16T14:26:38Z,interval,animal,,Corvus frugilegus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.54915893,,,
47b94a96df612f2943f19c4ee4,TOV-E Østfold 10617,47b94a96df612f2943f1,,2022-09-20T06:26:38Z,2022-09-20T06:31:17Z,interval,animal,,Loxia curvirostra,,,,,,,,,,,,,,,machine,birdnet-lite,,0.47232527,,,
5554cd2b12b7be46a45360eb31,TOV-E: Østfold 10618,5554cd2b12b7be46a453,,2022-09-16T08:58:52Z,2022-09-16T09:01:01Z,interval,animal,,Regulus regulus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.6552628,,,
5714ca7b3543e622f98af145c1,TOV-E: Stavanger 110204,5714ca7b3543e622f98a,,2022-10-02T14:03:40Z,2022-10-02T14:03:52Z,interval,animal,,Tetrao urogallus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.5068365,,,
5b014f62bb6df031f633ad6d4b,TOV-E: Østfold 10618,5b014f62bb6df031f633,,2022-09-24T11:43:03Z,2022-09-24T11:43:33Z,interval,animal,,Dendrocopos major,,,,,,,,,,,,,,,machine,birdnet-lite,,0.83168006,,,
5e5ac09d825c53051d32bf8097,TOV-E: Stavanger 110204,5e5ac09d825c53051d32,,2022-10-14T07:15:57Z,2022-10-14T07:19:00Z,interval,animal,,Tetrao urogallus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.5623509,,,
71fdca009d7cbd9d5e777f83f9,TOV-E: Stavanger 110204,71fdca009d7cbd9d5e77,,2022-10-04T05:30:51Z,2022-10-04T05:31:12Z,interval,animal,,Turdus iliacus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.571467,,,
9f7db2725dbca12c27084a150f,TOV-E: Bergen 120718,9f7db2725dbca12c2708,,2022-09-11T13:28:07Z,2022-09-11T13:30:49Z,interval,animal,,Phylloscopus collybita,,,,,,,,,,,,,,,machine,birdnet-lite,,0.8135558,,,
b96c939e17b7f9da05e40e0c9b,TOV-E: Stavanger 110204,b96c939e17b7f9da05e4,,2022-10-01T02:21:24Z,2022-10-01T02:23:09Z,interval,animal,,Tetrao urogallus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.5781921,,,
c37429fdd97ef43c1148f6143c,TOV-E: Bergen 120718,c37429fdd97ef43c1148,,2022-09-15T10:26:55Z,2022-09-15T10:26:58Z,interval,animal,,Regulus regulus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.45149153,,,
c4d04a5d679d4db7dc51d50e19,TOV-E: Østfold 10618,c4d04a5d679d4db7dc51,,2022-10-14T11:08:54Z,2022-10-14T11:12:18Z,interval,animal,,Turdus iliacus,,,,,,,,,,,,,,,machine,birdnet-lite,,0.6198937,,,
d47bc6358504f76b60ee220e76,TOV-E Østfold 10617,d47bc6358504f76b60ee,,2022-09-06T12:32:50Z,2022-09-06T12:33:53Z,interval,animal,,Porzana porzana,,,,,,,,,,,,,,,machine,birdnet-lite,,0.9007846,,,
d47bc6358504f76b60ee40a064,TOV-E Østfold 10617,d47bc6358504f76b60ee,,2022-09-06T12:32:50Z,2022-09-06T12:33:53Z,interval,animal,,Sitta europaea,,,,,,,,,,,,,,,machine,birdnet-lite,,0.59274817,,,
d47bc6358504f76b60eee07442,TOV-E Østfold 10617,d47bc6358504f76b60ee,,2022-09-06T12:32:53Z,2022-09-06T12:33:59Z,interval,animal,,Porzana porzana,,,,,,,,,,,,,,,machine,birdnet-lite,,0.60434526,,,
db5a229f34566e44b6c78f9e42,TOV-E: Østfold 10618,db5a229f34566e44b6c7,,2022-09-05T04:00:48Z,2022-09-05T04:00:57Z,interval,animal,,Troglodytes troglodytes,,,,,,,,,,,,,,,machine,birdnet-lite,,0.8371256,,,
e67a98766dc04d20eba83b8ec1,TOV-E Østfold 10617,e67a98766dc04d20eba8,,2022-09-07T08:56:35Z,2022-09-07T09:00:05Z,interval,animal,,Dendrocopos major,,,,,,,,,,,,,,,machine,birdnet-lite,,0.6375887,,,
f6a86e04f1fc34dd64ebf3f8e2,TOV-E: Bergen 120718,f6a86e04f1fc34dd64eb,,2022-09-21T13:21:49Z,2022-09-21T13:26:46Z,interval,animal,,Sitta europaea,,,,,,,,,,,,,,,machine,birdnet-lite,,0.7990878,,,
