id,analysis,scientificName,englishName,start_secs,end_secs,confidence,detected_time,detected_time_end,audio_id,project,recorder,site,latitude,longitude,audio_link,timestamp
8851a9d110f41a2cf448f87d75,birdnet-lite,Tetrao urogallus,Western Capercaillie,114,117,0.62566364,2022-10-24T19:38:47.317Z,2022-10-24T19:40:44Z,8851a9d110f41a2cf448,proj_sound-of-norway,bugg_RPiID-1000000027dd31af,TOV-E: Stavanger 110204,58.4811381,6.090253,https://bugg-301712.web.app/download/9a42ba3b-ca7f-4523-b129-486a4f2389ca/audio/proj_sound-of-norway/bugg_RPiID-1000000027dd31af/conf_6f40914/2022-10-24T19_36_53.317Z.mp3,2022-10-24T19:36:53.317Z
257ad6f232655c37fc4e9615d0,birdnet-lite,Tetrao urogallus,Western Capercaillie,237,240,0.47356543,2022-10-24T19:05:33.412Z,2022-10-24T19:09:33Z,257ad6f232655c37fc4e,proj_sound-of-norway,bugg_RPiID-1000000027dd31af,TOV-E: Stavanger 110204,58.4811381,6.090253,https://bugg-301712.web.app/download/3f1db578-45c2-4771-acbf-5006200ad947/audio/proj_sound-of-norway/bugg_RPiID-1000000027dd31af/conf_6f40914/2022-10-24T19_01_36.412Z.mp3,2022-10-24T19:01:36.412Z
b36457799f13a8f5e4cdf4324b,birdnet-lite,Poecile montanus,Willow Tit,141,147,0.94349647,2022-10-24T11:10:11.161Z,2022-10-24T11:12:38Z,b36457799f13a8f5e4cd,proj_sound-of-norway,bugg_RPiID-1000000027dd31af,TOV-E: Stavanger 110204,58.4811381,6.090253,https://bugg-301712.web.app/download/5bafce08-e55c-4986-8d44-5ff8121462a0/audio/proj_sound-of-norway/bugg_RPiID-1000000027dd31af/conf_6f40914/2022-10-24T11_07_50.161Z.mp3,2022-10-24T11:07:50.161Z
c7cd5f6be141efd01cf228469e,birdnet-lite,Erithacus rubecula,European Robin,0,42,0.7395628,2022-10-21T16:13:46.903Z,2022-10-21T16:14:28Z,c7cd5f6be141efd01cf2,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/a067b846-a2a3-4b67-b9fb-fcac9b05f1c0/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T16_13_46.903Z.mp3,2022-10-21T16:13:46.903Z
22653df1df679bdbea8a5cf903,birdnet-lite,Erithacus rubecula,European Robin,282,300,0.63018423,2022-10-21T16:13:26.475Z,2022-10-21T16:18:26Z,22653df1df679bdbea8a,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/63fcceb8-6445-4fff-90ca-3395d341581c/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T16_08_44.475Z.mp3,2022-10-21T16:08:44.475Z
b2d7263d9f28e42a2ef51c3ddd,birdnet-lite,Tetrao urogallus,Western Capercaillie,282,285,0.706524,2022-10-21T14:57:50.496Z,2022-10-21T15:02:35Z,b2d7263d9f28e42a2ef5,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/971148bc-7bd2-42ed-97db-777a138f6aae/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T14_53_08.496Z.mp3,2022-10-21T14:53:08.496Z
5e26659291a3b0dc6e364f80c9,birdnet-lite,Aegithalos caudatus,Long-tailed Tit,21,36,0.93882346,2022-10-21T14:52:51.988Z,2022-10-21T14:53:27Z,5e26659291a3b0dc6e36,proj_sound-of-norway,bugg_RPiID-100000006b720339,TOV-E: Østfold 10618,59.6976029,11.2049245,https://bugg-301712.web.app/download/25fb7690-331c-4f89-8d0c-dd3c8c05464b/audio/proj_sound-of-norway/bugg_RPiID-100000006b720339/conf_6f40914/2022-10-21T14_52_30.988Z.mp3,2022-10-21T14:52:30.988Z
846768f443eb88c32c7fe6a9a9,birdnet-lite,Certhia familiaris,Eurasian Treecreeper,225,228,0.57573426,2022-10-21T14:51:51.099Z,2022-10-21T14:55:39Z,846768f443eb88c32c7f,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/49edafc9-658e-4939-b3de-b23fd897ac05/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T14_48_06.099Z.mp3,2022-10-21T14:48:06.099Z
60b91e65fc358aaba636ca7349,birdnet-lite,Certhia familiaris,Eurasian Treecreeper,84,87,0.9046758,2022-10-21T13:38:55.876Z,2022-10-21T13:40:22Z,60b91e65fc358aaba636,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/ec579a06-d105-4005-977b-60034b87f26c/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T13_37_31.876Z.mp3,2022-10-21T13:37:31.876Z
e8f305cf3df510dde14d6a1bd7,birdnet-lite,Certhia familiaris,Eurasian Treecreeper,225,231,0.91428465,2022-10-21T13:31:12.053Z,2022-10-21T13:35:03Z,e8f305cf3df510dde14d,proj_sound-of-norway,bugg_RPiID-1000000022fb515e,TOV-E: Bergen 120718,60.0603424,5.6645948,https://bugg-301712.web.app/download/f5bfa057-46a7-4b9f-9cf8-6220f237e4e0/audio/proj_sound-of-norway/bugg_RPiID-1000000022fb515e/conf_6f40914/2022-10-21T13_27_27.053Z.mp3,2022-10-21T13:27:27.053Z
