observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
86896MD01_016K_M04_multi_20180711_123000Z.aif_4,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_123000Z.aif,,1161.771971,1167.588021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.557014,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_150000Z.aif_207,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_150000Z.aif,,9986.848260,9991.311740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.500845,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_160000Z.aif_381,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_160000Z.aif,,14027.376263,14031.839743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.534451,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_163000Z.aif_420,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_163000Z.aif,,15908.211145,15912.268855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.680122,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_164500Z.aif_470,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_164500Z.aif,,17041.915149,17045.972859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.726785,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_234500Z.aif_754,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_234500Z.aif,,42023.059142,42027.116852,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.507379,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_074500Z.aif_855,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_074500Z.aif,,70464.955149,70469.012859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.548517,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1041,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76253.923978,76259.740028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.606138,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_1055,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,76353.144263,76357.607743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.580202,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_938,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,75676.443978,75682.260028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.556980,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z.aif_971,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,75824.560263,75829.023743,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.504226,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_093000Z.aif_1160,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_093000Z.aif,,76993.080256,76997.543736,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.692539,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_094500Z.aif_1221,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_094500Z.aif,,77402.211975,77408.028025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.511220,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_094500Z.aif_1223,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_094500Z.aif,,77424.136260,77428.599740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.571445,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_094500Z.aif_1262,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_094500Z.aif,,77662.704260,77667.167740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.550605,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_100000Z.aif_1402,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_100000Z.aif,,78585.323978,78591.140028,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.510620,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_101500Z.aif_1549,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_101500Z.aif,,79312.539971,79318.356021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.515564,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_101500Z.aif_1574,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_101500Z.aif,,79466.891971,79472.708021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.669168,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_101500Z.aif_1627,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_101500Z.aif,,79755.115971,79760.932021,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.551339,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z.aif_1730,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,80302.040260,80306.503740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.574895,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z.aif_1786,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,80563.640260,80568.103740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.607339,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z.aif_1794,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,80606.648260,80611.111740,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.548470,,1-1-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z.aif_1810,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,80681.995975,80687.812025,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.667894,,1-4-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_104500Z.aif_1886,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_104500Z.aif,,81236.795149,81240.852859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.504589,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_111500Z.aif_2112,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_111500Z.aif,,83012.227145,83016.284855,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.521097,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_113000Z.aif_2266,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_113000Z.aif,,84249.339149,84253.396859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.616196,,1-2-f,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_113000Z.aif_2280,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_113000Z.aif,,84411.627149,84415.684859,interval,animal,,,,,,,,,,,,,,,,,machine,,,0.602294,,1-2-f,parm file = FW2O_p25.mat
