"table","column","type","n_unique","n_missing","example_values"
"selections","Selection","integer",500,0,"2986, 29925"
"selections","View","character",1,0,"Spectrogram "
"selections","Channel","integer",4,0,"3, 4"
"selections","SID","integer",4,0,"3, 4"
"selections","Begin.Time..s.","character",499,0,"90115.979142, 3570584.667142"
"selections","End.Time..s.","character",499,0,"90120.036852, 3570588.724852"
"selections","Low.Freq..Hz.","integer",2,0,"13, 8"
"selections","High.Freq..Hz.","integer",3,0,"34, 29"
"selections","Begin.Date","character",44,0,"07/12/2018, 08/21/2018"
"selections","Begin.Hour","integer",24,0,"13, 20"
"selections","Begin.Path","character",372,0,"\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_131500Z.aif, \\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180821\86896MD01_016K_M04_multi_20180821_200000Z.aif"
"selections","Begin.File","character",372,0,"86896MD01_016K_M04_multi_20180712_131500Z.aif, 86896MD01_016K_M04_multi_20180821_200000Z.aif"
"selections","File.Offset..s.","character",493,0,"115.979141823, 284.667141823"
"selections","Date.Check","character",44,0,"07/12/2018, 08/21/2018"
"selections","Time.Check","character",499,0,"13:16:55.979, 20:04:44.667"
"selections","Score","character",498,0,"0.503848, 0.538504"
"selections","Tags","character",3,0,"1-2-f, 1-4-f"
"selections","Notes","character",1,0,"parm file = FW2O_p25.mat"
"selections","deploymentID","character",1,0,"2018_UnivMD_Maryland_86896_Dep01_20180711"
"selections","timestamp","character",372,0,"2018-07-12T13:15:00+00:00, 2018-08-21T20:00:00+00:00"
"selections","observationID","character",500,0,"86896MD01_016K_M04_multi_20180712_131500Z_2986, 86896MD01_016K_M04_multi_20180821_200000Z_29925"
"selections","scientificName","character",1,0,"Balaenoptera physalus"
"selections","mediaID","character",372,0,"86896MD01_016K_M04_multi_20180712_131500Z, 86896MD01_016K_M04_multi_20180821_200000Z"
"deployments","deploymentID","character",1,0,"2018_UnivMD_Maryland_86896_Dep01_20180711"
"deployments","locationID","character",4,0,"M1, M2"
"deployments","locationName","character",0,4,"All NA"
"deployments","latitude","numeric",4,0,"38.37031, 38.35305"
"deployments","longitude","numeric",4,0,"-74.75384, -74.7309"
"deployments","coordinateUncertainty","integer",0,4,"All NA"
"deployments","elevation","numeric",0,4,"All NA"
"deployments","deploymentStart","character",4,0,"2018-07-12T17:03:00+00:00, 2018-07-12T17:14:00+00:00"
"deployments","deploymentEnd","character",4,0,"2018-08-21T12:42:00+00:00, 2018-08-21T13:16:00+00:00"
"deployments","setupBy","character",0,4,"All NA"
"deployments","deviceID","numeric",4,0,"168, 89"
"deployments","deviceModel","character",1,0,"V2.5 Popup"
"deployments","devicePlatform","character",1,0,"mooring"
"deployments","deviceDelay","integer",0,4,"All NA"
"deployments","deviceHeight","numeric",0,4,"All NA"
"deployments","deviceDepth","numeric",3,0,"27, 25"
"deployments","deviceTilt","integer",0,4,"All NA"
"deployments","deviceHeading","integer",0,4,"All NA"
"deployments","recordingSchedule","character",1,0,"continuous"
"deployments","detectionDistance","numeric",0,4,"All NA"
"deployments","baitUse","logical",0,4,"All NA"
"deployments","locationType","character",0,4,"All NA"
"deployments","habitat","character",0,4,"All NA"
"deployments","deploymentGroups","character",1,0,"UMD"
"deployments","deploymentTags","character",0,4,"All NA"
"deployments","deploymentComments","character",3,1,"CTD# S7958, CTD# S8044     SURFACED EARLY, RECOVERED ON RETRIEVAL DAY"
"media","mediaID","character",372,0,"86896MD01_016K_M04_multi_20180711_124500Z, 86896MD01_016K_M04_multi_20180711_130000Z"
"media","deploymentID","character",1,0,"2018_UnivMD_Maryland_86896_Dep01_20180711"
"media","captureMethod","character",1,0,"schedule"
"media","timestamp","character",372,0,"2018-07-11T12:45:00+00:00, 2018-07-11T13:00:00+00:00"
"media","duration","numeric",0,372,"All NA"
"media","filePath","character",372,0,"\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif, \\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_130000Z.aif"
"media","filePublic","logical",1,0,"FALSE"
"media","fileName","character",0,372,"All NA"
"media","fileMediatype","character",1,0,"audio/aiff"
"media","exifData","logical",0,372,"All NA"
"media","bitDepth","numeric",1,0,"16"
"media","samplingFrequency","numeric",1,0,"16000"
"media","gain","numeric",1,0,"23.5"
"media","channels","integer",0,372,"All NA"
"media","favorite","logical",0,372,"All NA"
"media","mediaComments","character",0,372,"All NA"
"observations","observationID","character",500,0,"86896MD01_016K_M04_multi_20180711_124500Z_31, 86896MD01_016K_M04_multi_20180711_124500Z_41"
"observations","deploymentID","character",1,0,"2018_UnivMD_Maryland_86896_Dep01_20180711"
"observations","mediaID","character",372,0,"86896MD01_016K_M04_multi_20180711_124500Z, 86896MD01_016K_M04_multi_20180711_130000Z"
"observations","eventID","character",0,500,"All NA"
"observations","eventStart","character",499,0,"1958.211145, 2392.235975"
"observations","eventEnd","character",499,0,"1962.268855, 2398.052025"
"observations","observationLevel","character",1,0,"interval"
"observations","observationType","character",1,0,"animal"
"observations","deviceSetupType","character",0,500,"All NA"
"observations","scientificName","character",1,0,"Balaenoptera physalus"
"observations","count","integer",0,500,"All NA"
"observations","lifeStage","character",0,500,"All NA"
"observations","sex","character",0,500,"All NA"
"observations","behavior","character",0,500,"All NA"
"observations","individualID","character",0,500,"All NA"
"observations","individualPositionRadius","numeric",0,500,"All NA"
"observations","individualPositionAngle","numeric",0,500,"All NA"
