mediaID,deploymentID,captureMethod,timestamp,duration,filePath,filePublic,fileName,fileMediatype,exifData,bitDepth,samplingFrequency,gain,channels,favorite,mediaComments
86896MD01_016K_M04_multi_20180711_123000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T12:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_130000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T13:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_130000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_143000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T14:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_143000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_150000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T15:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_150000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_153000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T15:30:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_153000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_160000Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T16:00:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_160000Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180711_164500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-11T16:45:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_164500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_091500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T09:15:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_091500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_094500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T09:45:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_094500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
86896MD01_016K_M04_multi_20180712_101500Z.aif,2018_UnivMD_Maryland_86896_Dep01_20180711,,2018-07-12T10:15:00Z,,\\Repnas\w\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180712\86896MD01_016K_M04_multi_20180712_101500Z.aif,FALSE,,audio/aiff,,16,16000,23.5,,,
