observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,deviceSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,frequencyLow,frequencyHigh,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,classificationConfirmation,observationTags,observationComments
86896MD01_016K_M04_multi_20180711_123000Z_15,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_123000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.514208,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_123000Z_7,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_123000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.535854,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_130000Z_58,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_130000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.700213,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_143000Z_166,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_143000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.534784,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_150000Z_206,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_150000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.503525,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_150000Z_213,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_150000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.72845,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_153000Z_278,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_153000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.572825,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_160000Z_364,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_160000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.630376,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180711_164500Z_436,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180711_164500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.704557,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_091500Z_1034,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_091500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.527408,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_094500Z_1254,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_094500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.501237,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_101500Z_1564,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_101500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.620884,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_101500Z_1681,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_101500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.540962,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z_1786,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.607339,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_103000Z_1824,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_103000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.569768,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_104500Z_1915,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_104500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.505355,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_110000Z_2012,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_110000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.503582,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_111500Z_2118,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_111500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.529637,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_111500Z_2146,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_111500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.581505,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_113000Z_2220,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_113000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.501757,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_114500Z_2354,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_114500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.509238,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_120000Z_2427,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_120000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.549312,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_121500Z_2591,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_121500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.543356,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_121500Z_2598,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_121500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.505878,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_124500Z_2828,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_124500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.522232,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_130000Z_2888,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_130000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.584534,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_130000Z_2928,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_130000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.54594,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_131500Z_3024,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_131500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.515663,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_133000Z_3091,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_133000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.512555,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_133000Z_3092,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_133000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.50092,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_133000Z_3145,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_133000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.526966,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_133000Z_3162,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_133000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.580543,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z_3319,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.507476,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_140000Z_3322,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_140000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.618308,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_141500Z_3482,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_141500Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.505813,,,parm file = FW2O_p25.mat
86896MD01_016K_M04_multi_20180712_143000Z_3511,2018_UnivMD_Maryland_86896_Dep01_20180711,86896MD01_016K_M04_multi_20180712_143000Z.aif,,,,interval,animal,,Balaenoptera physalus,,,,,,,,,,,,,,,machine,,,0.510829,,,parm file = FW2O_p25.mat
