Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	SID	Date Check	Time Check	Score	Tags	Notes	Tag	Verification 2
5417	Spectrogram 1	2	694484.200003000	694485.375003000	59.000	293.000	2018/7/19	13	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180719\86896MD01_016K_M04_multi_20180719_130000Z.aif	86896MD01_016K_M04_multi_20180719_130000Z.aif	584.2000	02	07/19/2018	13:09:44.200	0.922584	ASR_NorthAtlanticRightWhale	na		delete tag
5418	Spectrogram 1	3	694484.725003000	694485.650003000	70.000	230.000	2018/7/19	13	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180719\86896MD01_016K_M04_multi_20180719_130000Z.aif	86896MD01_016K_M04_multi_20180719_130000Z.aif	584.7250	03	07/19/2018	13:09:44.725	0.827672	ASR_NorthAtlanticRightWhale	na		delete tag
6691	Spectrogram 1	1	884031.974997000	884032.974997000	16.000	199.000	2018/7/21	17	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180721\86896MD01_016K_M04_multi_20180721_174500Z.aif	86896MD01_016K_M04_multi_20180721_174500Z.aif	231.9750	01	07/21/2018	17:48:51.975	0.600655	ASR_NorthAtlanticRightWhale	na	NARW	v
11046	Spectrogram 1	4	1449533.325000000	1449534.125000000	63.000	195.000	2018/7/28	6	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180728\86896MD01_016K_M04_multi_20180728_064500Z.aif	86896MD01_016K_M04_multi_20180728_064500Z.aif	533.3250	04	07/28/2018	06:53:53.325	0.950706	ASR_NorthAtlanticRightWhale	na	NARW	v
19705	Spectrogram 1	3	2914694.374997000	2914694.974997000	59.000	188.000	2018/8/14	5	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180814\86896MD01_016K_M04_multi_20180814_054500Z.aif	86896MD01_016K_M04_multi_20180814_054500Z.aif	494.3750	03	08/14/2018	05:53:14.375	0.656968	ASR_NorthAtlanticRightWhale	na		delete tag
1	Spectrogram 1	4	886.625003000	889.525003000	4.000	391.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_121500Z.aif	86896MD01_016K_M04_multi_20180711_121500Z.aif	886.6250	04	07/11/2018	12:29:46.625	0.342617	ASR_NorthAtlanticRightWhale	na		
2	Spectrogram 1	4	972.474997000	972.799997000	223.000	352.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	72.4750	04	07/11/2018	12:31:12.475	0.314952	ASR_NorthAtlanticRightWhale	na		
3	Spectrogram 1	1	1523.974997000	1525.924997000	4.000	391.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	623.9750	01	07/11/2018	12:40:23.975	0.324684	ASR_NorthAtlanticRightWhale	na		
4	Spectrogram 1	4	1605.574997000	1606.099997000	199.000	328.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	705.5750	04	07/11/2018	12:41:45.575	0.633203	ASR_NorthAtlanticRightWhale	na		
5	Spectrogram 1	2	1744.749997000	1745.174997000	207.000	359.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_123000Z.aif	86896MD01_016K_M04_multi_20180711_123000Z.aif	844.7500	02	07/11/2018	12:44:04.750	0.495663	ASR_NorthAtlanticRightWhale	na		
6	Spectrogram 1	1	1882.975000000	1883.850000000	113.000	230.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	82.9750	01	07/11/2018	12:46:22.975	0.426977	ASR_NorthAtlanticRightWhale	na		
7	Spectrogram 1	4	2005.650000000	2006.150000000	66.000	164.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	205.6500	04	07/11/2018	12:48:25.650	0.347880	ASR_NorthAtlanticRightWhale	na		
8	Spectrogram 1	4	2173.375000000	2173.875000000	125.000	172.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	373.3750	04	07/11/2018	12:51:13.375	0.555659	ASR_NorthAtlanticRightWhale	na		
9	Spectrogram 1	3	2216.625000000	2218.100000000	184.000	348.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	416.6250	03	07/11/2018	12:51:56.625	0.704194	ASR_NorthAtlanticRightWhale	na		
10	Spectrogram 1	3	2267.625000000	2268.000000000	78.000	145.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	467.6250	03	07/11/2018	12:52:47.625	0.405691	ASR_NorthAtlanticRightWhale	na		
11	Spectrogram 1	4	2322.375000000	2324.025000000	121.000	391.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	522.3750	04	07/11/2018	12:53:42.375	0.322409	ASR_NorthAtlanticRightWhale	na		
12	Spectrogram 1	3	2533.725000000	2534.275000000	125.000	391.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	733.7250	03	07/11/2018	12:57:13.725	0.917170	ASR_NorthAtlanticRightWhale	na		
13	Spectrogram 1	3	2575.100000000	2575.475000000	117.000	180.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	775.1000	03	07/11/2018	12:57:55.100	0.516095	ASR_NorthAtlanticRightWhale	na		
14	Spectrogram 1	3	2659.450000000	2660.975000000	129.000	203.000	2018/7/11	12	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_124500Z.aif	86896MD01_016K_M04_multi_20180711_124500Z.aif	859.4500	03	07/11/2018	12:59:19.450	0.335302	ASR_NorthAtlanticRightWhale	na		
15	Spectrogram 1	1	2859.575003000	2860.200003000	70.000	160.000	2018/7/11	13	W:\projects\2018_UnivMD_Maryland_86896\86896_MD01_20180711\86896_MD01_AIFF\86896MD01_016K_M04_multi_20180711\86896MD01_016K_M04_multi_20180711_130000Z.aif	86896MD01_016K_M04_multi_20180711_130000Z.aif	159.5750	01	07/11/2018	13:02:39.575	0.608782	ASR_NorthAtlanticRightWhale	na		
